spray_date,spray_rate,wash_date,wash_type,item_type,electric_dryer,drying_split,conc,lod,sd_block,clrep
6/28/17,1x,6/28/17,agitator,jeans,yes,NA,3.3187,NA,2,7
6/28/17,1x,6/28/17,agitator,100 tshirt,yes,NA,1.3868,NA,2,7
6/28/17,1x,6/28/17,agitator,50:50 tshirt,yes,NA,1.3209,NA,2,7
6/28/17,1x,6/28/17,agitator,onesie,no,CL,0.1148,NA,2,7
6/28/17,1x,6/28/17,agitator,workshirt,no,CL,0.964,NA,2,7
6/28/17,1x,6/28/17,agitator,jeans,no,CL,2.1898,NA,2,7
6/28/17,1x,6/28/17,agitator,100 tshirt,no,CL,1.0795,NA,2,7
6/28/17,1x,6/28/17,agitator,50:50 tshirt,no,CL,1.3236,NA,2,7
6/28/17,1x,6/28/17,HE,onesie,no,UV,0.1949,NA,2,8
6/28/17,1x,6/28/17,HE,workshirt,no,UV,0.7415,NA,2,8
6/28/17,1x,6/28/17,HE,jeans,no,UV,2.07,NA,2,8
6/28/17,1x,6/28/17,HE,100 tshirt,no,UV,0.7874,NA,2,8
6/28/17,1x,6/28/17,HE,50:50 tshirt,no,UV,0.9347,NA,2,8
6/28/17,1x,6/28/17,HE,onesie,no,WND,0.1749,NA,2,8
6/28/17,1x,6/28/17,HE,workshirt,no,WND,0.6338,NA,2,8
6/28/17,1x,6/28/17,HE,jeans,no,WND,2.34,NA,2,8
6/28/17,1x,6/28/17,HE,100 tshirt,no,WND,0.6322,NA,2,8
6/28/17,1x,6/28/17,HE,50:50 tshirt,no,WND,1.2356,NA,2,8
6/28/17,1x,6/28/17,HE,onesie,yes,NA,0.3052,NA,2,8
6/28/17,1x,6/28/17,HE,workshirt,yes,NA,0.7266,NA,2,8
6/28/17,1x,6/28/17,HE,jeans,yes,NA,1.8392,NA,2,8
6/28/17,1x,6/28/17,HE,100 tshirt,yes,NA,1.0041,NA,2,8
6/28/17,1x,6/28/17,HE,50:50 tshirt,yes,NA,0.9579,NA,2,8
6/28/17,1x,6/28/17,HE,onesie,no,CL,0.2448,NA,2,8
6/28/17,1x,6/28/17,HE,workshirt,no,CL,0.7146,NA,2,8
6/28/17,1x,6/28/17,HE,jeans,no,CL,2.2007,NA,2,8
6/28/17,1x,6/28/17,HE,100 tshirt,no,CL,0.8882,NA,2,8
6/28/17,1x,6/28/17,HE,50:50 tshirt,no,CL,1.0603,NA,2,8
6/28/17,1x,6/29/17,none,workshirt,no,NA,3.3604,NA,2,12
6/28/17,1x,6/29/17,none,jeans,no,NA,5.0175,NA,2,12
6/28/17,1x,6/29/17,none,100 tshirt,no,NA,3.7187,NA,2,12
6/28/17,1x,6/29/17,none,50:50 tshirt,no,NA,3.3098,NA,2,12
6/28/17,1x,6/29/17,agitator,onesie,no,UV,0.1817,NA,2,10
6/28/17,1x,6/29/17,agitator,workshirt,no,UV,0.8178,NA,2,10
6/28/17,1x,6/29/17,agitator,jeans,no,UV,2.8438,NA,2,10
6/28/17,1x,6/29/17,agitator,100 tshirt,no,UV,1.1496,NA,2,10
6/28/17,1x,6/29/17,agitator,50:50 tshirt,no,UV,1.4165,NA,2,10
6/28/17,1x,6/29/17,agitator,onesie,no,WND,0.1775,NA,2,10
6/28/17,1x,6/29/17,agitator,workshirt,no,WND,0.9275,NA,2,10
6/28/17,1x,6/29/17,agitator,jeans,no,WND,3.3515,NA,2,10
6/28/17,1x,6/29/17,agitator,100 tshirt,no,WND,1.3622,NA,2,10
6/28/17,1x,6/29/17,agitator,50:50 tshirt,no,WND,1.3958,NA,2,10
6/28/17,1x,6/29/17,agitator,onesie,yes,NA,0.1079,NA,2,10
6/28/17,1x,6/29/17,agitator,workshirt,yes,NA,1.1975,NA,2,10
6/28/17,1x,6/29/17,agitator,jeans,yes,NA,3.4543,NA,2,10
6/28/17,1x,6/29/17,agitator,100 tshirt,yes,NA,1.4162,NA,2,10
6/28/17,1x,6/29/17,agitator,50:50 tshirt,yes,NA,1.7581,NA,2,10
6/28/17,1x,6/29/17,agitator,onesie,no,CL,0.1999,NA,2,10
6/28/17,1x,6/29/17,agitator,workshirt,no,CL,1.455,NA,2,10
6/28/17,1x,6/29/17,agitator,jeans,no,CL,2.3924,NA,2,10
6/28/17,1x,6/29/17,agitator,100 tshirt,no,CL,1.1916,NA,2,10
6/28/17,1x,6/29/17,agitator,50:50 tshirt,no,CL,1.5958,NA,2,10
6/28/17,1x,6/29/17,HE,onesie,no,UV,0.2142,NA,2,11
6/28/17,1x,6/29/17,HE,workshirt,no,UV,0.889,NA,2,11
6/28/17,1x,6/29/17,HE,jeans,no,UV,2.8305,NA,2,11
6/28/17,1x,6/29/17,HE,100 tshirt,no,UV,0.8714,NA,2,11
6/28/17,1x,6/29/17,HE,50:50 tshirt,no,UV,1.3799,NA,2,11
6/28/17,1x,6/29/17,HE,onesie,no,WND,0.21,NA,2,11
6/28/17,1x,6/29/17,HE,workshirt,no,WND,0.7405,NA,2,11
6/28/17,1x,6/29/17,HE,jeans,no,WND,2.5896,NA,2,11
6/28/17,1x,6/29/17,HE,100 tshirt,no,WND,1.3537,NA,2,11
6/28/17,1x,6/29/17,HE,50:50 tshirt,no,WND,1.3294,NA,2,11
6/28/17,1x,6/29/17,HE,onesie,yes,NA,0.1978,NA,2,11
6/28/17,1x,6/29/17,HE,workshirt,yes,NA,1.0124,NA,2,11
6/28/17,1x,6/29/17,HE,jeans,yes,NA,3.1932,NA,2,11
6/28/17,1x,6/29/17,HE,100 tshirt,yes,NA,1.2829,NA,2,11
6/28/17,1x,6/29/17,HE,50:50 tshirt,yes,NA,2.0614,NA,2,11
6/28/17,1x,6/29/17,HE,onesie,no,CL,0.2681,NA,2,11
6/28/17,1x,6/29/17,HE,workshirt,no,CL,1.4722,NA,2,11
6/28/17,1x,6/29/17,HE,jeans,no,CL,2.8734,NA,2,11
6/28/17,1x,6/29/17,HE,100 tshirt,no,CL,1.4758,NA,2,11
6/28/17,1x,6/29/17,HE,50:50 tshirt,no,CL,1.6133,NA,2,11
7/5/17,9x,7/5/17,none,workshirt,no,NA,47.5816,NA,3,15
7/5/17,9x,7/5/17,none,jeans,no,NA,51.5107,NA,3,15
7/5/17,9x,7/5/17,none,100 tshirt,no,NA,33.1268,NA,3,15
7/5/17,9x,7/5/17,none,50:50 tshirt,no,NA,37.8861,NA,3,15
7/5/17,9x,7/5/17,agitator,onesie,no,UV,2.526,NA,3,13
7/5/17,9x,7/5/17,agitator,workshirt,no,UV,7.6195,NA,3,13
