zcta,city,state,metro,county,price_psf,sale_count,pop_density,population,pov,med_hh_income
81657,Vail,CO,Edwards,Eagle County,1136.36363636364,25,0.020113227785585698,5793,0,75.044
80461,Leadville,CO,other,Lake County,231.941350908957,16,0.009770357942115922,7319,18.9,45.941
81224,Crested Butte,CO,other,Gunnison County,523.458704924389,7,0.008467794586644397,3420,2.3,81.587
81144,Monte Vista,CO,other,Rio Grande County,114.648839152178,11,0.009565922501823542,7008,11.9,40.785
81303,Durango,CO,Durango,La Plata County,239.508393285372,11,0.015126113686517494,8452,5.9,60.764
80816,Florissant,CO,Colorado Springs,Teller County,233.911034084344,24,0.011683109676022721,5605,2.2,50.828
80829,Manitou Springs,CO,Colorado Springs,El Paso County,369.203468849991,13,0.10349048518685003,5780,7.4,66.829
81631,Eagle,CO,Edwards,Eagle County,282.595383890721,18,0.013192183777411437,8368,7.5,114.528
81647,New Castle,CO,Glenwood Springs,Garfield County,274.591432425983,11,0.007680652105702794,7279,7.9,81.029
80443,Frisco,CO,Breckenridge,Summit County,542.298987707881,13,0.015591077761734337,4201,8.2,61.404
80498,Silverthorne,CO,Breckenridge,Summit County,435.015114294042,32,0.011119639203296606,7530,5.4,68.196
81637,Gypsum,CO,Edwards,Eagle County,244.635933645129,12,0.0043352906310456666,8527,8.5,90.179
80543,Milliken,CO,Greeley,Weld County,227.516672868306,39,0.0805466512745041,6577,2.8,78.722
81252,Westcliffe,CO,other,Custer County,163.071385098341,19,0.0025934318808144433,4136,7.8,40.563
81413,Cedaredge,CO,other,Delta County,169.849204595669,15,0.008493926687399761,4630,9.4,43.006
81635,Parachute,CO,Glenwood Springs,Garfield County,177.945161804559,12,0.009212345776430549,6942,7.8,66.154
80808,Calhan,CO,Colorado Springs,El Paso County,196.329497625262,13,0.006357750108277878,5835,8.7,61.528
81089,Walsenburg,CO,other,Huerfano County,81.640625,13,0.002428309135952582,4352,29.9,30.279
80118,Larkspur,CO,Denver-Aurora-Lakewood,Douglas County,289.732283464567,NA,0.01780571593402778,6296,3.3,116.419
81323,Dolores,CO,other,Montezuma County,191.284370183148,NA,0.002386892427561756,4423,13.1,51.928
80102,Bennett,CO,Denver-Aurora-Lakewood,Adams County,220.574136008919,10,0.00728307654553622,5602,3.4,69.849
80136,Strasburg,CO,Denver-Aurora-Lakewood,Adams County,241.777982496545,10,0.01014248202262239,5314,3.8,80.943
80514,Dacono,CO,Greeley,Weld County,192.901234567901,7,0.2875413993612564,5010,5,53.105
81652,Silt,CO,Glenwood Springs,Garfield County,277.516087516088,7,0.02146077085830863,4947,3.4,59.176
81328,Mancos,CO,other,Montezuma County,196.650786916991,12,0.004615633115320503,4366,7.5,49.327
80530,Frederick,CO,Greeley,Weld County,208.421093327268,14,0.8777315128561671,4322,0,74.038
80814,Divide,CO,Colorado Springs,Teller County,249.519230769231,19,0.013058259563878691,3339,2,70.394
81428,Paonia,CO,other,Delta County,185.571428571429,11,0.005858122167391982,3328,10.8,46.089
80446,Granby,CO,other,Grand County,253.656307129799,25,0.005597676026725188,4335,11.4,68.45
80135,Sedalia,CO,Denver-Aurora-Lakewood,Douglas County,450.051736968382,2,0.004583754334576453,3909,3.5,101.444
80116,Franktown,CO,Denver-Aurora-Lakewood,Douglas County,289.553472075032,7,0.017943075505855364,4017,4.2,113.75
81432,Ridgway,CO,other,Ouray County,266.842788498632,10,0.004369716985649077,3090,3.2,60.458
80106,Elbert,CO,Colorado Springs,El Paso County,308.478149100257,17,0.010980989738681352,4999,4.3,100.727
